FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
4.8,3.8,0.04,2.4,0.7,0.07,2.4,3.1,0.01,-3.7,-7.6,0.07,-1.3,4.5,3.1,6.7,-1.6,0.9,-0.7,-1.1,8.4,32.0,True
0.8,-2.4,0.02,1.7,3.4,0.02,-1.0,-5.8,0.03,-0.8,-3.8,0.08,-1.9,0.0,-1.8,3.3,-0.3,0.2,0.1,1.3,2.3,13.0,True
1.4,-2.7,0.03,-4.5,-11.4,-0.03,5.9,8.6,0.03,-1.6,-0.7,-0.05,0.8,-0.7,0.2,-0.9,-0.6,1.2,1.5,0.2,-3.4,0.0,True
3.3,-0.7,0.04,0.9,0.0,0.04,2.5,-0.7,0.04,-2.9,-4.3,0.02,-1.8,4.0,2.3,3.8,-0.5,1.6,-0.2,-4.2,4.4,25.0,True
-0.3,-3.5,0.02,-0.8,-1.8,-0.01,0.5,-1.7,0.02,0.8,3.2,-0.06,-2.8,-0.6,-3.5,1.5,1.7,1.0,-1.6,-0.4,-0.6,9.0,True
-1.6,-3.9,0.0,0.5,0.4,0.02,-2.2,-4.1,-0.0,3.4,3.9,0.01,-0.1,-0.7,-0.8,-2.5,-1.2,0.7,-1.8,-0.4,0.5,11.0,False
4.8,3.8,0.04,2.4,0.7,0.07,2.4,3.1,0.01,-3.7,-7.6,0.07,-1.3,4.5,3.1,6.7,-1.6,0.9,-0.7,-1.1,8.4,32.0,True
-0.6,-4.8,0.02,1.2,2.3,0.01,-1.8,-7.0,0.03,-2.9,-3.5,-0.01,-3.3,0.5,-2.8,1.4,-0.1,1.7,1.3,-2.8,-2.9,0.0,True
3.7,2.3,0.03,-1.5,-4.9,0.01,5.4,7.0,0.03,2.0,2.9,-0.01,3.9,1.7,5.5,0.9,0.6,2.2,3.1,1.1,7.9,13.0,True
0.8,7.5,-0.03,2.6,8.1,-0.0,-1.8,-0.5,-0.03,1.4,0.5,0.04,1.8,-1.0,0.8,3.4,2.5,-2.3,-0.4,3.6,5.7,0.0,True
1.5,3.1,0.0,-2.1,-5.0,-0.02,3.8,8.0,-0.0,-5.1,-6.0,-0.02,0.3,-1.3,-1.0,3.6,-0.2,-1.5,1.7,-1.6,-4.1,-35.0,False
-2.5,-2.4,-0.02,2.8,7.2,0.01,-5.4,-9.7,-0.01,3.5,3.6,0.03,-1.3,2.0,0.6,-1.9,-0.9,0.2,-1.5,-2.6,1.3,13.0,True
0.8,-2.4,0.02,1.7,3.4,0.02,-1.0,-5.8,0.03,-0.8,-3.8,0.08,-1.9,0.0,-1.8,3.3,-0.3,0.2,0.1,1.3,2.3,13.0,False
0.9,1.4,0.0,-1.3,-4.2,0.01,2.1,5.5,-0.01,0.9,2.5,-0.05,0.8,-1.0,-0.3,-1.1,-0.5,-2.0,-0.5,1.7,1.3,-7.0,True
2.4,3.4,0.01,-1.4,-6.1,0.03,3.8,9.6,-0.01,0.8,-1.6,0.09,1.6,3.4,5.1,1.3,-2.3,-0.3,-2.5,-2.9,4.2,32.0,True
-2.7,1.2,-0.04,2.8,10.1,-0.03,-5.7,-8.8,-0.02,1.3,1.9,-0.01,-0.2,-0.6,-0.8,-2.4,-1.5,-2.2,-0.3,2.0,-1.2,-25.0,False
-2.3,-2.9,-0.01,2.7,8.5,-0.01,-5.0,-11.4,0.01,1.9,3.9,-0.03,0.7,-2.0,-1.1,-2.3,1.1,0.7,-0.3,1.4,-0.1,8.0,True
0.1,-3.0,0.02,-2.7,-7.4,-0.01,2.8,4.5,0.01,-0.4,-0.1,-0.02,0.2,-2.7,-2.5,1.9,-0.8,1.0,0.3,0.7,-3.2,-12.0,False
-0.8,-4.6,0.02,-3.1,-7.4,-0.02,2.3,2.8,0.01,4.1,4.8,0.02,0.5,-1.6,-1.0,1.2,0.3,0.4,1.6,-0.2,-0.3,-1.0,True
5.7,3.7,0.05,7.0,13.1,0.09,-1.3,-9.4,0.06,-2.6,-2.9,-0.02,-1.2,5.7,4.6,8.2,-0.4,1.8,1.9,-1.0,15.8,31.0,True
-1.0,4.4,-0.04,-0.7,0.7,-0.04,-0.3,3.7,-0.03,2.2,1.7,0.04,0.0,-0.2,-0.2,-1.0,-0.5,-1.1,-1.2,0.1,-0.4,-23.0,True
-1.1,3.2,-0.03,-0.7,-0.9,-0.02,-0.4,4.1,-0.04,-0.7,-3.0,0.06,2.7,0.0,2.8,-2.1,-0.9,-1.8,4.2,1.4,-3.6,-30.0,True
0.9,0.5,0.01,2.5,4.8,0.03,-1.6,-4.3,0.01,-1.1,-1.1,-0.01,0.1,0.8,0.9,-1.4,-0.5,-0.2,-0.1,0.7,3.2,11.0,True
1.4,1.2,0.01,0.7,1.5,0.01,0.8,-0.4,0.01,0.2,1.4,-0.04,-0.1,-0.1,-0.2,0.7,3.3,-0.9,1.5,0.3,3.8,13.0,True
-0.5,4.7,-0.03,2.9,8.2,0.01,-3.4,-3.4,-0.03,0.0,2.5,-0.08,2.7,-0.4,2.2,-1.4,0.3,-2.8,-0.6,0.7,2.0,-4.0,False
0.5,-2.7,0.02,-0.7,-4.1,0.03,1.1,1.5,0.01,5.1,4.1,0.08,0.7,1.4,2.2,-2.8,-0.5,-0.5,-3.3,-2.1,5.3,46.0,True
-1.0,-3.5,0.01,-1.3,-5.2,0.03,0.3,1.8,-0.01,-3.3,-4.8,0.02,-3.7,-1.1,-4.7,1.5,0.9,0.0,-2.8,-3.1,-6.7,12.0,True
1.5,-1.2,0.03,3.6,8.2,0.03,-2.1,-9.4,0.04,-1.1,1.5,-0.09,-2.4,2.8,0.4,2.1,-0.2,1.3,-0.3,-0.4,5.4,11.0,True
0.1,-0.4,0.0,0.8,1.2,0.01,-0.8,-1.7,0.0,0.7,1.7,-0.03,2.3,0.1,2.4,-2.9,-2.4,-2.0,-1.4,1.2,1.5,9.0,True
1.1,4.6,-0.01,2.4,6.6,0.01,-1.2,-1.9,-0.0,-1.8,-2.6,0.01,-0.2,1.8,1.6,0.5,0.0,-0.7,-1.1,0.0,3.1,2.0,True
2.2,4.8,0.0,-1.9,-3.3,-0.03,4.1,8.1,0.0,-0.2,-0.2,-0.0,2.6,-1.7,1.0,2.5,1.9,-1.1,1.1,3.8,2.3,0.0,False
-1.3,-1.4,-0.01,-2.1,-5.8,-0.01,1.0,4.4,-0.02,-0.8,-1.8,0.03,1.4,-0.9,0.6,-2.2,-1.0,0.1,0.3,-2.8,-5.5,-20.0,False
0.0,-2.2,0.01,-5.2,-14.5,-0.01,5.2,12.3,-0.02,1.0,-2.4,0.1,-1.3,-0.2,-1.5,1.2,-2.0,-0.6,-0.9,-1.1,-4.1,-12.0,False
-0.1,-1.5,0.01,0.7,2.4,-0.01,-0.8,-4.0,0.02,0.8,1.2,-0.01,-1.6,-2.1,-3.7,-0.6,1.7,-1.5,-0.5,2.1,1.1,-12.0,False
6.0,1.6,0.06,0.5,-0.9,0.03,5.6,2.4,0.07,0.4,0.5,0.0,2.4,3.3,5.6,5.0,0.2,1.8,2.2,0.3,12.9,38.0,True
-1.3,-3.7,0.01,-1.3,-4.7,0.01,0.1,0.9,-0.01,-0.6,0.7,-0.05,1.5,-1.4,0.1,-3.1,0.9,1.5,2.1,0.7,-4.6,-2.0,False
-2.8,-0.8,-0.03,1.0,3.4,-0.01,-3.8,-4.2,-0.03,-1.0,-2.3,0.03,0.9,-0.4,0.6,-3.8,-1.2,-0.7,1.0,2.3,-5.7,-10.0,False
2.5,1.4,0.02,-2.0,-5.2,-0.0,4.4,6.6,0.02,-2.2,-1.2,-0.06,0.1,-2.2,-2.1,2.8,1.3,-1.4,1.9,2.7,0.7,-7.0,True
2.6,-1.3,0.04,2.9,6.3,0.03,-0.3,-7.6,0.06,1.1,4.7,-0.09,0.6,-0.6,0.1,4.2,2.8,1.1,2.2,1.5,9.2,24.0,True
0.9,-1.7,0.02,-0.1,-1.9,0.02,1.1,0.1,0.02,0.5,3.9,-0.1,-0.4,-0.6,-1.1,0.7,1.8,1.9,0.2,1.8,2.2,11.0,True
-2.2,1.8,-0.04,3.9,11.9,-0.01,-6.1,-10.1,-0.02,-1.3,-0.1,-0.05,-1.0,0.6,-0.5,-1.6,0.1,0.2,1.2,1.0,-1.6,-23.0,False
1.6,5.0,-0.01,-0.5,-0.2,-0.02,2.1,5.2,-0.01,1.4,1.1,0.02,0.8,0.6,1.4,3.7,-0.3,-0.4,-0.2,0.8,4.2,-7.0,False
0.1,0.8,-0.0,1.6,4.6,-0.0,-1.6,-3.9,0.0,1.7,2.1,0.01,-0.2,2.0,1.8,-1.1,1.4,0.8,0.1,2.0,3.6,24.0,True
-1.1,-5.1,0.01,-1.7,-4.2,-0.01,0.5,-1.1,0.02,1.9,2.9,-0.01,-0.5,1.3,0.8,-2.8,-1.5,1.4,0.0,-2.4,-2.1,13.0,True
-2.4,-4.4,-0.0,-6.1,-13.1,-0.04,3.8,8.7,-0.01,-0.3,-1.4,0.04,-0.6,-1.7,-2.3,-4.4,-0.1,-0.2,-2.1,-3.2,-11.4,-6.0,False
0.2,2.7,-0.01,-1.2,-1.9,-0.02,1.4,4.5,-0.01,-3.6,-5.3,0.03,0.2,0.8,1.0,1.8,-2.1,0.2,0.3,0.1,-4.3,-24.0,False
1.3,0.3,0.01,-0.4,-2.0,0.01,1.7,2.3,0.01,-0.2,-1.0,0.03,-2.0,-0.2,-2.2,1.5,0.0,0.4,-3.8,-1.8,1.8,7.0,False
-0.6,-4.8,0.02,1.2,2.3,0.01,-1.8,-7.0,0.03,-2.9,-3.5,-0.01,-3.3,0.5,-2.8,1.4,-0.1,1.7,1.3,-2.8,-2.9,0.0,True
-5.7,-3.7,-0.05,-7.0,-13.1,-0.09,1.3,9.4,-0.06,2.6,2.9,0.02,1.2,-5.7,-4.6,-8.2,0.4,-1.8,-1.9,1.0,-15.8,-31.0,False
-0.1,3.4,-0.02,-2.8,-8.2,0.01,2.8,11.7,-0.05,0.2,-0.7,0.04,0.5,1.3,1.8,0.1,-0.7,1.8,0.3,-1.5,-2.7,-15.0,True
0.9,4.6,-0.01,5.0,12.1,0.03,-4.1,-7.5,-0.01,-4.0,-4.0,-0.04,1.6,2.4,3.9,-2.1,-1.1,0.0,-0.4,1.0,2.7,15.0,False
-1.1,0.0,-0.01,-0.3,-1.3,0.01,-0.9,1.4,-0.02,-1.2,0.3,-0.06,-2.5,-1.9,-4.4,1.5,1.5,-1.4,0.3,-0.2,-3.6,-22.0,True
-1.2,0.0,-0.01,4.1,11.0,0.01,-5.4,-11.0,-0.0,3.0,3.0,0.03,-1.5,3.1,1.5,-0.6,-0.3,1.3,-2.2,0.1,4.8,27.0,True
1.1,5.1,-0.01,1.7,4.2,0.01,-0.5,1.1,-0.02,-1.9,-2.9,0.01,0.5,-1.3,-0.8,2.8,1.5,-1.4,0.0,2.4,2.1,-13.0,True
-0.7,0.0,-0.01,1.9,6.0,-0.01,-2.5,-6.0,0.01,-1.5,1.2,-0.11,-0.9,-2.2,-3.2,1.0,2.6,0.3,3.0,2.0,-1.0,-22.0,False
0.8,7.0,-0.03,3.3,10.5,-0.01,-2.5,-3.5,-0.01,1.5,0.8,0.04,1.1,2.1,3.2,1.1,1.0,-1.6,-1.5,1.2,6.7,15.0,True
-1.6,0.6,-0.02,0.4,2.0,-0.01,-1.9,-1.4,-0.02,0.6,3.0,-0.06,3.4,1.1,4.5,-5.1,-1.6,-0.2,-1.0,-1.8,-2.1,3.0,True
-1.6,-3.9,0.0,0.5,0.4,0.02,-2.2,-4.1,-0.0,3.4,3.9,0.01,-0.1,-0.7,-0.8,-2.5,-1.2,0.7,-1.8,-0.4,0.5,11.0,True
