FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,W,Top_Team_Won
0.9,-2.9,0.03,-1.5,-4.6,0.0,2.5,1.8,0.03,2.8,2.9,0.03,-0.4,-1.3,-1.8,-0.2,1.2,0.5,-0.7,2.1,3.1,19.0,True
4.3,3.3,0.03,-1.2,-3.7,0.01,5.5,7.1,0.03,2.8,3.0,0.02,0.8,0.6,1.5,1.2,0.9,-0.6,-2.5,-5.0,10.2,25.0,True
0.2,-0.7,0.01,-0.5,0.1,-0.02,0.8,-0.9,0.02,3.8,4.2,0.04,0.9,2.5,3.3,1.2,-0.1,1.5,-0.6,-2.8,3.9,20.0,True
1.4,-0.4,0.02,1.2,2.8,0.01,0.2,-3.1,0.03,0.4,1.4,-0.03,0.8,-1.8,-1.0,5.6,0.6,-0.3,1.5,-0.8,4.4,-3.0,True
-2.4,-2.9,-0.01,-0.7,-1.4,-0.01,-1.7,-1.5,-0.02,2.9,4.6,-0.03,1.4,-2.0,-0.4,-4.5,-0.3,-1.4,-0.2,0.9,-2.7,-6.0,False
-1.8,0.3,-0.02,1.0,2.7,0.0,-2.9,-2.5,-0.03,5.3,7.8,-0.03,0.5,2.7,3.2,-0.6,-2.0,0.4,-0.6,-1.6,2.6,-12.0,False
2.7,0.7,0.03,-0.8,-3.0,0.01,3.5,3.6,0.03,2.9,4.1,-0.01,2.8,3.4,6.1,4.4,1.3,1.3,4.2,2.9,7.5,28.0,True
0.1,-0.4,0.0,0.3,-0.6,0.02,-0.1,0.2,-0.0,0.2,0.5,-0.01,0.3,2.3,2.6,-1.2,-0.4,0.3,-1.6,0.1,0.6,31.0,False
-2.4,-4.1,-0.01,-1.6,-2.7,-0.02,-0.8,-1.5,-0.0,1.9,1.3,0.04,-0.6,-2.6,-3.2,-1.3,-0.2,0.9,1.5,4.8,-4.5,-17.0,True
2.5,1.5,0.02,1.5,3.7,0.01,1.0,-2.1,0.04,1.8,1.3,0.04,1.0,1.4,2.4,0.9,0.0,1.2,-1.1,2.4,8.3,34.0,True
2.4,5.5,-0.0,-0.8,-0.5,-0.02,3.2,6.0,0.0,-0.2,1.8,-0.06,1.7,1.5,3.1,1.4,-0.9,-0.4,1.1,1.6,4.0,-13.0,False
-4.3,2.0,-0.06,-2.0,-1.0,-0.06,-2.4,3.0,-0.07,1.1,3.6,-0.07,1.9,-1.2,0.6,-8.0,-1.1,-3.0,0.2,2.4,-9.6,-37.0,False
-0.4,-1.2,0.0,-2.0,-4.1,-0.02,1.6,2.9,0.0,1.9,3.2,-0.02,-0.9,0.2,-0.6,-2.8,0.1,-0.4,-0.3,1.3,-1.0,-4.0,False
1.0,4.7,-0.01,-0.6,-1.4,-0.0,1.5,6.1,-0.03,-3.4,-4.4,0.0,2.1,2.1,4.2,0.1,-2.1,-0.3,0.9,-0.9,-2.0,-15.0,False
0.5,2.0,-0.01,-1.7,-4.6,-0.0,2.1,6.7,-0.02,-2.8,-3.4,-0.01,-0.1,0.2,0.3,-0.2,1.4,-1.3,-1.2,-1.4,-3.7,-1.0,False
-1.2,-3.9,0.01,4.6,11.9,0.01,-5.7,-15.8,0.05,2.3,0.9,0.06,-3.5,1.9,-1.6,0.2,-0.6,-0.2,-0.2,-0.7,4.5,17.0,False
0.1,-3.2,0.02,1.1,0.7,0.03,-1.0,-3.9,0.02,0.5,-0.6,0.04,-0.3,-0.6,-0.8,2.5,0.0,1.6,0.6,0.5,1.8,10.0,False
-0.3,-1.6,0.01,-1.8,-4.0,-0.01,1.6,2.4,0.01,-0.6,0.0,-0.03,0.2,-1.4,-1.3,3.3,0.7,0.4,-0.4,-2.3,-2.9,-2.0,True
